지점명,Latitude,Longitude,발생건수
서울특별시 종로구 숭인동(신설동역교차로 부근),37.5755901,127.0232426,3
서울특별시 중구 장충동1가(장충체육관앞 부근),37.558373,127.008024,3
서울특별시 중구 신당동(약수역서울3호선 부근),37.554347,127.011001,3
서울특별시 용산구 한강로3가(한강대교북측 부근),37.525269,126.963881,3
서울특별시 성동구 성수동1가(성수대교 부근),37.5370472,127.0349351,4
서울특별시 성동구 성수동1가(성동교사거리 부근),37.5515378,127.0439913,4
서울특별시 성동구 행당동(왕십리역2번출구 부근),37.561949,127.038485,3
서울특별시 광진구 자양동(영동대교북측 부근),37.530207,127.057213,3
서울특별시 광진구 중곡동(군자역사거리 부근),37.5571211,127.0794877,3
서울특별시 광진구 군자동(중곡주유소 부근),37.563544,127.0888304,3
서울특별시 광진구 군자동(화양사거리 부근),37.548387,127.06869,3
서울특별시 중랑구 상봉동(상봉지하차도앞교차로 부근),37.5970608,127.088069,3
서울특별시 성북구 하월곡동(종암로209 부근),37.6083757,127.0302929,3
서울특별시 성북구 돈암동(길음환승주차장앞교차 부근),37.6033367,127.0261582,3
서울특별시 강북구 번동(수유역앞교차로 부근),37.6379436,127.0256017,3
서울특별시 도봉구 창동(창동변전소 부근),37.6477423,127.044059,3
서울특별시 은평구 갈현동(갈현1동사무소 부근),37.623674,126.9167419,3
서울특별시 은평구 진관동(구파발사거리 부근),37.6390248,126.9166957,3
서울특별시 은평구 역촌동(신사오거리 부근),37.5988565,126.91471,3
서울특별시 은평구 녹번동(녹번역삼거리 부근),37.6009465,126.9357227,3
서울특별시 서대문구 현저동(독립문역앞교차로 부근),37.5721449,126.9602767,4
서울특별시 마포구 서교동(태성빌딩 부근),37.550869,126.9214755,3
서울특별시 마포구 망원동(마포구영등포구 부근),37.5554884,126.8998606,3
서울특별시 마포구 동교동(창천동삼거리 부근),37.5568963,126.9316688,3
서울특별시 양천구 신월동(화곡동9473 부근),37.5264285,126.8342266,3
서울특별시 강서구 화곡동(우장공원입구교차로 부근),37.5406979,126.8472722,3
서울특별시 강서구 마곡동(마곡역교차로 부근),37.559296,126.828416,3
서울특별시 강서구 화곡동(강서구청입구 부근),37.5558394,126.8523154,3
서울특별시 구로구 가리봉동(가산동교차로 부근),37.4854319,126.8810924,3
서울특별시 구로구 개봉동(개봉1동사거리 부근),37.5015682,126.8465397,3
서울특별시 구로구 고척동(개봉사거리 부근),37.5031884,126.858851,3
서울특별시 구로구 오류동(시티월드앞교차로 부근),37.4943138,126.841017,3
서울특별시 구로구 구로동(두산아파트 부근),37.486126,126.890286,3
서울특별시 구로구 구로동(고대구로병원사거리 부근),37.4930976,126.8833975,3
서울특별시 구로구 고척동(구로소방서앞 부근),37.4977912,126.8647325,3
서울특별시 구로구 개봉동(오류IC 부근),37.4980687,126.8487063,3
서울특별시 구로구 구로동(대륭포스트타워2차 부근),37.4858838,126.8973216,3
서울특별시 금천구 시흥동(시흥사거리 부근),37.4547138,126.9005358,3
서울특별시 금천구 가산동(월드메르디앙벤처센타 부근),37.4766861,126.8837772,3
서울특별시 영등포구 문래동5가(신정교 부근),37.5166947,126.8796839,3
서울특별시 영등포구 대림동(구로디지털단지역앞교 부근),37.485215,126.901594,3
서울특별시 영등포구 당산동3가(서림빌딩 부근),37.5267327,126.8965064,3
서울특별시 영등포구 대림동(거리공원오거리 부근),37.4976251,126.8934519,3
서울특별시 동작구 노량진동(수산시장입구교차로 부근),37.5134296,126.9466685,3
서울특별시 동작구 상도동(신상도초교앞교차로 부근),37.499098,126.9440025,3
서울특별시 동작구 사당동(삼원빌딩 부근),37.4896276,126.9822213,3
서울특별시 동작구 노량진동(노량진수산시장 부근),37.5149238,126.9389205,3
서울특별시 관악구 신림동(난곡사거리 부근),37.481794,126.9145059,5
서울특별시 관악구 봉천동(삼양빌딩 부근),37.4855439,126.9344205,3
